brand,model,model_year,engine_volume,engine_type,transmission,fuel_type,ext_col,mileage in miles,damage,price_usd
BMW,limited_model,2004,3.0,I6,automatic,Gasoline,black,140000,None reported,6730
Ford,Fusion SE,2018,1.5,4Cyl,automatic,Gasoline,blue,75600,Damage reported,14950
Other,MKZ Base,2015,2.0,4Cyl,automatic,Gasoline,N/A,117292,None reported,12000
Ford,limited_model,2005,5.4,,6-speed manual,Gasoline,white,1897,None reported,429998
Other,G90 5.0 Ultimate,2017,5.0,V8,automatic,Gasoline,white,26000,None reported,33600
Lexus,LC 500 Base,2022,5.0,V8,automatic,Gasoline,N/A,2071,None reported,99950
Ford,Shelby GT500 Base,2014,5.8,V8,6-speed manual,Gasoline,black,15629,None reported,61900
Other,limited_model,2008,2.4,4Cyl,automatic,Gasoline,silver,15020,None reported,18500
Audi,limited_model,2022,4.0,V8,8-speed auto,Gasoline,grey,11322,None reported,119900
Toyota,limited_model,2016,5.7,,automatic,Gasoline,silver,50361,None reported,65998
Mercedes-Benz,SL-Class SL 550,2013,4.6,V8,automatic,Gasoline,black,115000,Damage reported,36000
Porsche,911 Carrera C2S,2005,3.8,H6,6-speed manual,Gasoline,silver,28500,None reported,63500
Mercedes-Benz,limited_model,2018,2.0,4Cyl,automatic,Gasoline,white,51700,None reported,32000
Ford,limited_model,2008,3.5,V6,automatic,Gasoline,blue,148949,None reported,3900
BMW,limited_model,2018,3.0,I6,8-speed auto,Gasoline,white,39300,Damage reported,31750
Honda,S2000 CR,2008,2.2,4Cyl,6-speed manual,Gasoline,black,82323,None reported,28500
Acura,limited_model,2023,1.5,,automatic,Gasoline,blue,3574,None reported,34998
Ford,Excursion Limited,2001,6.8,V10,automatic,Gasoline,N/A,109357,None reported,12749
Mercedes-Benz,SL-Class SL500 Roadster,2004,5.0,V8,automatic,Gasoline,white,46000,None reported,18853
Mercedes-Benz,CLS-Class CLS 550,2007,5.5,V8,automatic,Gasoline,silver,123112,Damage reported,104999
INFINITI,limited_model,2007,3.5,V6,6-speed manual,Gasoline,grey,37100,None reported,16900
Volkswagen,limited_model,2016,2.0,4Cyl,6-speed manual,Gasoline,silver,89000,None reported,14500
Dodge,Challenger R/T Scat Pack,2022,6.4,V8,8-speed auto,Gasoline,N/A,1240,None reported,53900
